,seniorcitizen,partner,dependents,tenure,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges
1360,1,No,No,13,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.05,1290.0
1434,0,No,No,12,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,99.95,1132.75
6424,0,Yes,No,72,DSL,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,54.2,3937.45
4572,0,Yes,No,60,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.15,6411.25
3604,0,Yes,Yes,38,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,19.6,717.3
4314,1,No,No,24,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.25,2440.15
1577,0,Yes,Yes,17,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),98.6,1704.95
668,0,No,No,4,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,45.65,191.05
1410,1,No,No,2,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.85,170.85
4564,0,No,No,1,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,20.0,20.0
4749,0,No,No,5,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,49.2,216.9
791,0,No,No,68,DSL,Yes,Yes,Yes,No,No,Yes,One year,Yes,Credit card (automatic),76.9,5023.0
4393,0,Yes,No,21,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,86.5,1808.7
4399,0,No,No,66,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),103.1,6595.0
6438,1,No,No,1,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,74.4
3217,0,No,No,2,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,20.45,42.45
783,0,No,No,1,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,52.2,52.2
3736,0,No,No,8,No,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),20.2,140.95
1049,0,No,No,1,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,19.65,19.65
495,0,No,No,22,DSL,No,Yes,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),43.75,903.6
1964,0,No,No,66,DSL,Yes,Yes,No,No,No,No,One year,Yes,Mailed check,54.8,3465.7
3905,0,No,No,3,DSL,No,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),35.2,108.95
666,0,No,No,2,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,69.65,145.15
2001,0,No,No,5,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,20.15,117.95
1183,0,Yes,No,53,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,93.45,4872.2
3771,0,No,No,1,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.05,79.05
959,0,Yes,Yes,32,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,86.1,2723.75
1009,1,Yes,No,23,No,No,No,No,No,No,No,One year,Yes,Electronic check,20.75,485.2
4267,0,Yes,No,72,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),91.15,6637.9
4698,1,Yes,No,66,DSL,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),80.55,5265.1
3172,0,No,Yes,25,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.9,2448.75
6957,0,No,No,9,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,86.25,770.5
6123,0,No,No,65,Fiber optic,Yes,No,No,Yes,No,Yes,One year,No,Electronic check,93.55,6069.25
1436,0,No,No,2,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,91.4,193.6
4699,0,Yes,No,49,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),106.65,5174.35
5373,0,Yes,No,71,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,105.25,7291.75
277,1,Yes,No,21,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.95,1339.8
6141,1,Yes,No,52,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.2,5568.35
2960,0,No,No,22,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.75,2095.0
2781,1,No,No,7,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,44.4,265.8
647,0,Yes,Yes,50,DSL,No,No,Yes,Yes,Yes,No,One year,Yes,Electronic check,69.65,3442.15
2215,0,Yes,No,70,DSL,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),49.85,3370.2
3286,1,No,No,35,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,3474.05
6042,1,Yes,No,37,No,No,No,No,No,No,No,One year,No,Mailed check,19.6,727.8
1959,0,Yes,Yes,5,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,34.25,163.55
4459,0,No,No,1,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),100.25,100.25
4439,0,Yes,Yes,28,No,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),20.3,487.95
971,0,Yes,No,49,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),93.85,4733.1
6725,0,Yes,No,37,No,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),19.5,805.2
859,0,Yes,Yes,72,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),64.8,4719.75
4279,0,Yes,Yes,25,No,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),25.4,546.85
4381,1,No,No,49,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),90.85,4515.85
5185,0,No,Yes,50,DSL,Yes,No,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),70.8,3478.15
3382,0,Yes,Yes,72,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),25.55,1867.7
5965,0,Yes,Yes,36,DSL,Yes,No,Yes,No,No,Yes,One year,Yes,Credit card (automatic),63.7,2188.5
2290,0,Yes,No,13,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),48.75,633.4
4688,1,Yes,No,70,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,90.85,6470.1
6964,0,Yes,No,49,DSL,No,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),56.3,2780.6
1866,0,Yes,Yes,64,Fiber optic,Yes,No,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),104.4,6721.6
3664,0,No,No,4,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,50.8,202.3
6526,0,No,Yes,49,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),100.6,5069.65
1448,0,No,No,23,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,20.85,473.9
1344,0,Yes,No,28,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,20.5,563.05
470,1,No,No,17,No,No,No,No,No,No,No,One year,No,Mailed check,20.65,330.6
5065,1,No,No,33,No,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),24.9,847.8
4817,0,No,No,1,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,19.9,19.9
3676,0,No,No,30,DSL,Yes,Yes,No,Yes,Yes,No,One year,No,Electronic check,70.4,2044.75
2158,0,Yes,Yes,57,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,84.5,4845.4
1463,0,No,No,4,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.4,281.0
5031,0,Yes,Yes,9,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,101.5,906.85
2779,0,No,No,9,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.35,758.6
6887,0,Yes,Yes,35,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),24.3,821.6
1560,0,No,Yes,39,DSL,Yes,No,No,Yes,Yes,No,One year,No,Bank transfer (automatic),45.05,1790.6
5627,1,Yes,No,7,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.85,485.25
5064,0,No,No,2,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),40.4,77.15
1995,1,No,No,1,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.95,69.95
910,1,No,No,10,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,72.85,688.65
1700,0,No,No,47,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),20.45,943.0
6991,0,No,No,8,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),95.65,778.1
1565,0,No,No,55,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,81.55,4509.5
4647,0,Yes,Yes,4,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,45.25,155.35
619,0,No,No,7,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),78.55,522.95
1155,0,Yes,No,70,DSL,No,Yes,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),76.1,5264.25
4284,1,No,No,32,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,90.95,2897.95
3697,0,Yes,Yes,32,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Electronic check,89.6,2901.8
1404,0,No,No,35,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),23.3,797.1
5067,0,Yes,Yes,30,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),66.3,1923.5
3123,0,No,No,16,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),69.95,1205.5
4423,0,No,No,33,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),66.4,2245.4
4432,0,No,No,37,DSL,Yes,Yes,No,Yes,No,No,Two year,Yes,Mailed check,40.55,1390.85
1835,0,Yes,No,1,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.0,45.0
2264,0,No,No,70,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),114.95,7711.25
3114,0,No,No,5,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),75.15,392.65
3054,0,No,Yes,67,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),106.6,7244.7
5269,0,No,No,10,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,59.65,638.95
1115,0,No,No,39,DSL,No,No,No,Yes,No,No,Two year,Yes,Credit card (automatic),53.85,2200.7
4443,0,No,No,1,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,44.75,44.75
6884,0,Yes,No,3,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.15,99.75
2606,0,No,No,31,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,104.35,3205.6
278,0,No,No,14,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,55.0,771.95
795,0,Yes,No,2,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,64.2,143.65
4687,0,Yes,No,22,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),94.7,1914.9
706,0,No,No,65,DSL,Yes,Yes,No,Yes,No,No,Two year,Yes,Mailed check,59.6,3739.8
560,0,Yes,No,56,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Electronic check,107.25,6033.3
6240,0,No,Yes,1,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.3,93.3
6989,0,Yes,Yes,20,DSL,Yes,No,No,No,Yes,Yes,One year,No,Bank transfer (automatic),76.0,1588.75
2474,0,No,No,47,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,4849.1
1674,0,Yes,Yes,23,No,No,No,No,No,No,No,Two year,No,Mailed check,25.1,611.45
2056,0,No,No,51,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),81.0,4085.75
4012,0,No,No,1,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,50.55,50.55
1027,0,No,No,47,Fiber optic,Yes,No,Yes,No,Yes,No,One year,No,Credit card (automatic),94.9,4615.25
3495,1,No,No,1,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.35,75.35
6110,0,Yes,No,19,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,59.8,1130.85
5538,0,No,No,1,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,81.1,81.1
1450,0,Yes,Yes,8,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,19.35,152.6
3179,0,No,No,27,No,No,No,No,No,No,No,Two year,Yes,Mailed check,19.6,561.15
2152,0,No,No,1,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,50.1,50.1
3148,0,No,No,47,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),75.45,3545.1
1474,0,Yes,Yes,45,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),95.95,4456.65
1522,0,No,No,29,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),68.85,1970.5
3498,0,No,No,43,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.2,3198.6
1208,0,No,No,1,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.25,80.25
6350,0,No,Yes,3,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,20.05,75.45
1640,0,Yes,Yes,7,No,No,No,No,No,No,No,One year,No,Mailed check,20.65,134.05
1303,0,Yes,Yes,69,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),19.7,1396.9
441,1,No,No,49,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),101.55,5070.4
2950,0,No,No,4,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,20.2,55.7
6979,0,No,Yes,1,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.2,24.2
348,0,No,No,23,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,44.95,996.85
428,0,No,No,18,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.6,1395.05
5282,0,Yes,No,3,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.2,292.85
1062,0,Yes,No,34,DSL,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),50.2,1815.3
5487,0,No,Yes,33,No,No,No,No,No,No,No,One year,Yes,Mailed check,20.15,682.15
2854,0,Yes,Yes,17,DSL,Yes,No,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),70.35,1201.65
1643,0,Yes,No,37,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,90.35,3419.3
4800,1,No,No,1,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.0,94.0
1575,0,No,No,66,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,99.5,6710.5
3399,0,No,No,42,DSL,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),78.45,3373.4
1323,0,Yes,No,71,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),24.65,1710.15
928,0,Yes,Yes,68,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),103.75,7039.45
3595,1,No,No,2,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.2,115.95
3255,1,Yes,Yes,66,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),110.6,7210.85
3484,1,Yes,No,38,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,83.45,3147.15
4901,0,No,No,1,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.7,74.7
5116,0,No,No,1,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.4,70.4
5924,0,Yes,Yes,62,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),20.65,1218.45
1157,1,Yes,No,62,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),97.95,5936.55
4069,0,Yes,Yes,68,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Electronic check,99.55,6668.0
5279,0,Yes,Yes,70,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),25.15,1790.15
6660,0,Yes,No,1,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.15,69.15
2563,1,No,No,25,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,105.95,2655.25
1637,0,No,No,66,DSL,No,No,No,Yes,No,No,One year,No,Credit card (automatic),29.45,1983.15
3059,0,Yes,Yes,64,No,No,No,No,No,No,No,Two year,Yes,Mailed check,24.05,1559.15
615,0,No,No,15,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,48.85,631.4
3336,0,Yes,Yes,55,No,No,No,No,No,No,No,Two year,No,Mailed check,20.3,1079.05
881,1,No,No,26,No,No,No,No,No,No,No,One year,No,Credit card (automatic),19.3,504.2
3807,0,Yes,No,24,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.65,2542.45
541,0,No,No,11,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,58.95,601.6
951,0,No,No,8,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,75.6,535.55
5655,0,No,No,65,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),25.1,1725.0
1793,0,Yes,Yes,72,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),24.75,1769.6
5751,0,No,No,47,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),20.25,1029.8
3616,1,Yes,No,69,Fiber optic,Yes,Yes,No,No,No,Yes,One year,No,Credit card (automatic),87.3,6055.55
5874,0,No,No,10,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.6,1060.2
2231,0,No,No,10,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.0,740.0
6903,0,Yes,No,35,DSL,No,Yes,No,Yes,Yes,No,One year,Yes,Electronic check,69.0,2441.7
822,0,No,No,47,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,103.1,4889.3
6981,0,No,No,8,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,65.45,554.45
3625,0,Yes,No,71,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),19.85,1379.6
4573,0,Yes,Yes,72,No,No,No,No,No,No,No,Two year,No,Electronic check,20.55,1432.55
2663,0,Yes,No,59,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),109.15,6557.75
5518,0,Yes,Yes,30,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,94.4,2838.7
4396,1,No,No,1,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,25.1,25.1
5173,0,Yes,Yes,4,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,44.8,169.65
6955,0,No,No,12,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.05,523.1
3343,0,No,No,16,No,No,No,No,No,No,No,One year,No,Bank transfer (automatic),20.1,318.6
137,0,Yes,Yes,64,No,No,No,No,No,No,No,Two year,No,Mailed check,20.2,1277.75
5308,0,No,No,69,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),82.45,5555.3
2831,1,Yes,No,12,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,98.1,1060.2
978,1,Yes,No,62,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,103.75,6383.35
2340,0,Yes,Yes,48,DSL,Yes,No,Yes,No,No,Yes,One year,No,Credit card (automatic),45.0,2196.3
6058,0,Yes,No,11,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),45.9,521.9
681,0,Yes,Yes,61,DSL,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),73.8,4616.05
821,0,Yes,Yes,43,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.15,3566.6
5548,0,Yes,No,70,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),24.25,1724.15
4804,0,No,No,61,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,118.6,7365.7
4908,1,No,No,28,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.15,3152.5
144,1,Yes,No,71,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),23.95,1756.2
5936,0,Yes,Yes,38,No,No,No,No,No,No,No,Two year,Yes,Mailed check,19.95,756.4
1338,0,No,No,1,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,20.15,20.15
1904,0,No,No,56,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,94.45,5124.6
4402,0,No,No,39,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),48.95,1880.85
3340,1,No,No,5,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),83.15,446.05
5558,0,Yes,Yes,72,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),116.4,8543.25
4209,0,Yes,Yes,44,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),54.9,2549.1
7035,0,No,No,19,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),78.7,1495.1
2582,0,No,Yes,12,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.3,1275.65
603,0,No,No,46,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,108.65,4903.2
4434,0,Yes,No,16,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,90.7,1374.9
