,Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Payment,cogs,Rating
837,670-71-7306,B,Mandalay,Normal,Male,Sports and travel,44.63,6,13.389000000000001,281.16900000000004,2019-01-02,Credit card,267.78,5.1
744,345-68-9016,C,Naypyitaw,Member,Female,Sports and travel,31.67,8,12.668,266.028,2019-01-02,Credit card,253.36,5.6
205,749-24-1565,A,Yangon,Normal,Female,Health and beauty,23.03,9,10.3635,217.6335,2019-01-03,Ewallet,207.27,7.9
374,422-29-8786,A,Yangon,Normal,Female,Home and lifestyle,67.09,5,16.7725,352.2225,2019-01-03,Credit card,335.45,9.1
170,249-42-3782,A,Yangon,Normal,Male,Health and beauty,70.01,5,17.5025,367.5525,2019-01-03,Ewallet,350.05,5.5
934,501-61-1753,B,Mandalay,Normal,Female,Home and lifestyle,63.15,6,18.945,397.845,2019-01-03,Ewallet,378.9,9.8
541,343-87-0864,C,Naypyitaw,Member,Male,Health and beauty,75.88,1,3.7939999999999996,79.67399999999999,2019-01-03,Credit card,75.88,7.1
777,875-31-8302,B,Mandalay,Normal,Male,Sports and travel,93.38,1,4.669,98.04899999999999,2019-01-03,Cash,93.38,9.6
271,687-15-1097,C,Naypyitaw,Member,Female,Health and beauty,21.12,2,2.112,44.352,2019-01-03,Cash,42.24,9.7
987,552-44-5977,B,Mandalay,Member,Male,Health and beauty,62.0,8,24.8,520.8,2019-01-03,Credit card,496.0,6.2
269,731-14-2199,A,Yangon,Member,Female,Home and lifestyle,35.54,10,17.77,373.17,2019-01-04,Ewallet,355.4,7.0
407,725-32-9708,B,Mandalay,Member,Female,Fashion accessories,68.71,4,13.742,288.582,2019-01-04,Cash,274.84,4.1
213,656-16-1063,B,Mandalay,Normal,Male,Sports and travel,46.42,3,6.962999999999999,146.22299999999998,2019-01-04,Credit card,139.26,4.4
412,132-23-6451,A,Yangon,Member,Male,Health and beauty,20.97,5,5.2425,110.0925,2019-01-04,Cash,104.85,7.8
156,279-74-2924,B,Mandalay,Member,Male,Electronic accessories,72.17,1,3.6085,75.7785,2019-01-04,Cash,72.17,6.1
206,672-51-8681,C,Naypyitaw,Member,Female,Electronic accessories,66.65,9,29.9925,629.8425,2019-01-04,Credit card,599.85,9.7
766,801-88-0346,C,Naypyitaw,Normal,Female,Fashion accessories,76.06,3,11.409,239.58900000000003,2019-01-05,Credit card,228.18,9.8
106,628-34-3388,C,Naypyitaw,Normal,Male,Fashion accessories,27.38,6,8.214,172.49400000000003,2019-01-05,Credit card,164.28,7.9
0,750-67-8428,A,Yangon,Member,Female,Health and beauty,74.69,7,26.1415,548.9715,2019-01-05,Ewallet,522.83,9.1
544,841-18-8232,B,Mandalay,Normal,Female,Food and beverages,71.2,1,3.56,74.76,2019-01-05,Credit card,71.2,9.2
536,339-12-4827,B,Mandalay,Member,Female,Fashion accessories,73.96,1,3.698,77.658,2019-01-05,Credit card,73.96,5.0
945,489-82-1237,A,Yangon,Normal,Female,Electronic accessories,93.88,7,32.858000000000004,690.018,2019-01-05,Credit card,657.16,7.3
268,144-51-6085,A,Yangon,Member,Male,Home and lifestyle,70.74,4,14.148,297.108,2019-01-05,Credit card,282.96,4.4
511,209-61-0206,A,Yangon,Normal,Female,Home and lifestyle,42.91,5,10.7275,225.2775,2019-01-05,Ewallet,214.55,6.1
501,573-98-8548,C,Naypyitaw,Member,Female,Fashion accessories,31.9,1,1.595,33.495,2019-01-05,Ewallet,31.9,9.1
376,843-01-4703,B,Mandalay,Member,Female,Home and lifestyle,35.38,9,15.921,334.341,2019-01-05,Credit card,318.42,9.6
243,217-58-1179,A,Yangon,Member,Male,Home and lifestyle,62.65,4,12.53,263.13,2019-01-05,Cash,250.6,4.2
936,433-08-7822,C,Naypyitaw,Normal,Female,Health and beauty,78.89,7,27.6115,579.8415,2019-01-05,Ewallet,552.23,7.5
254,704-11-6354,A,Yangon,Member,Male,Home and lifestyle,58.9,8,23.56,494.76,2019-01-06,Cash,471.2,8.9
697,826-58-8051,B,Mandalay,Normal,Male,Home and lifestyle,62.19,4,12.437999999999999,261.198,2019-01-06,Ewallet,248.76,4.3
703,729-06-2010,B,Mandalay,Member,Male,Health and beauty,80.47,9,36.2115,760.4415,2019-01-06,Cash,724.23,9.2
70,393-65-2792,C,Naypyitaw,Normal,Male,Food and beverages,89.48,10,44.74,939.54,2019-01-06,Credit card,894.8,9.6
282,490-29-1201,A,Yangon,Normal,Female,Sports and travel,15.34,1,0.767,16.107,2019-01-06,Cash,15.34,6.5
384,662-72-2873,A,Yangon,Normal,Female,Food and beverages,40.94,5,10.235,214.935,2019-01-06,Ewallet,204.7,9.9
365,834-25-9262,C,Naypyitaw,Normal,Female,Fashion accessories,81.68,4,16.336,343.056,2019-01-06,Cash,326.72,9.1
955,846-10-0341,A,Yangon,Normal,Female,Fashion accessories,42.57,7,14.8995,312.8895,2019-01-06,Cash,297.99,6.8
869,852-82-2749,A,Yangon,Normal,Male,Sports and travel,64.59,4,12.918,271.278,2019-01-06,Ewallet,258.36,9.3
35,232-16-2483,C,Naypyitaw,Member,Female,Sports and travel,68.12,1,3.406,71.52600000000001,2019-01-07,Ewallet,68.12,6.8
580,390-31-6381,C,Naypyitaw,Normal,Male,Food and beverages,27.22,3,4.083,85.743,2019-01-07,Cash,81.66,7.3
547,541-48-8554,A,Yangon,Normal,Male,Sports and travel,60.95,9,27.4275,575.9775,2019-01-07,Credit card,548.55,6.0
355,889-04-9723,B,Mandalay,Member,Female,Food and beverages,89.14,4,17.828,374.38800000000003,2019-01-07,Credit card,356.56,7.8
275,566-19-5475,B,Mandalay,Normal,Male,Fashion accessories,47.97,7,16.7895,352.5795,2019-01-07,Cash,335.79,6.2
276,526-86-8552,C,Naypyitaw,Member,Female,Home and lifestyle,21.82,10,10.91,229.11,2019-01-07,Cash,218.2,7.1
67,109-28-2512,B,Mandalay,Member,Female,Fashion accessories,97.61,6,29.283,614.943,2019-01-07,Ewallet,585.66,9.9
272,126-54-1082,A,Yangon,Member,Female,Home and lifestyle,21.54,9,9.693,203.553,2019-01-07,Credit card,193.86,8.8
248,799-71-1548,A,Yangon,Member,Male,Electronic accessories,77.72,4,15.544,326.42400000000004,2019-01-07,Credit card,310.88,8.8
482,674-15-9296,A,Yangon,Normal,Male,Sports and travel,37.14,5,9.285,194.985,2019-01-08,Ewallet,185.7,5.0
443,192-98-7397,C,Naypyitaw,Normal,Male,Fashion accessories,12.78,1,0.639,13.419,2019-01-08,Ewallet,12.78,9.5
746,457-13-1708,B,Mandalay,Member,Male,Fashion accessories,65.23,10,32.615,684.915,2019-01-08,Credit card,652.3,5.2
686,767-97-4650,B,Mandalay,Member,Female,Sports and travel,64.83,2,6.483,136.143,2019-01-08,Credit card,129.66,8.0
128,663-86-9076,C,Naypyitaw,Member,Female,Food and beverages,68.54,8,27.416,575.736,2019-01-08,Ewallet,548.32,8.5
267,571-94-0759,B,Mandalay,Member,Female,Food and beverages,74.6,10,37.3,783.3,2019-01-08,Cash,746.0,9.5
127,189-08-9157,C,Naypyitaw,Normal,Female,Fashion accessories,31.73,9,14.2785,299.8485,2019-01-08,Credit card,285.57,5.9
416,750-57-9686,C,Naypyitaw,Normal,Female,Home and lifestyle,45.38,4,9.076,190.59599999999998,2019-01-08,Credit card,181.52,8.7
807,257-60-7754,A,Yangon,Normal,Female,Electronic accessories,50.23,4,10.046,210.96599999999998,2019-01-08,Cash,200.92,9.0
880,490-95-0021,B,Mandalay,Member,Female,Food and beverages,33.21,10,16.605,348.705,2019-01-08,Ewallet,332.1,6.0
685,241-96-5076,B,Mandalay,Member,Female,Home and lifestyle,49.1,2,4.91,103.11,2019-01-08,Credit card,98.2,6.4
726,442-44-6497,C,Naypyitaw,Member,Male,Home and lifestyle,55.57,3,8.3355,175.0455,2019-01-08,Credit card,166.71,5.9
868,631-34-1880,C,Naypyitaw,Member,Male,Food and beverages,24.31,3,3.6465,76.5765,2019-01-08,Credit card,72.93,4.3
864,124-31-1458,A,Yangon,Member,Female,Electronic accessories,79.59,3,11.9385,250.7085,2019-01-08,Cash,238.77,6.6
861,840-76-5966,A,Yangon,Member,Male,Sports and travel,12.76,2,1.276,26.796,2019-01-08,Ewallet,25.52,7.8
506,387-49-4215,B,Mandalay,Member,Female,Sports and travel,48.5,3,7.275,152.775,2019-01-08,Cash,145.5,6.7
848,845-94-6841,C,Naypyitaw,Member,Female,Food and beverages,72.88,9,32.796,688.716,2019-01-08,Cash,655.92,4.0
604,484-22-8230,C,Naypyitaw,Member,Female,Fashion accessories,51.89,7,18.1615,381.3915,2019-01-08,Cash,363.23,4.5
76,263-10-3913,C,Naypyitaw,Member,Male,Fashion accessories,49.04,9,22.068,463.42800000000005,2019-01-09,Credit card,441.36,8.6
357,554-42-2417,C,Naypyitaw,Normal,Female,Sports and travel,95.44,10,47.72,1002.12,2019-01-09,Cash,954.4,5.2
832,343-75-9322,B,Mandalay,Member,Female,Sports and travel,11.85,8,4.74,99.54,2019-01-09,Cash,94.8,4.1
682,370-96-0655,C,Naypyitaw,Normal,Female,Fashion accessories,49.32,6,14.796,310.716,2019-01-09,Ewallet,295.92,7.1
836,288-62-1085,A,Yangon,Member,Male,Fashion accessories,38.54,5,9.635,202.335,2019-01-09,Ewallet,192.7,5.6
984,189-40-5216,C,Naypyitaw,Normal,Male,Electronic accessories,96.37,7,33.7295,708.3195,2019-01-09,Cash,674.59,6.0
958,867-47-1948,C,Naypyitaw,Normal,Female,Home and lifestyle,15.8,10,7.9,165.9,2019-01-09,Cash,158.0,7.8
951,305-89-2768,B,Mandalay,Member,Female,Home and lifestyle,21.9,3,3.285,68.985,2019-01-09,Ewallet,65.7,4.7
925,226-34-0034,B,Mandalay,Normal,Female,Electronic accessories,13.78,4,2.7560000000000002,57.876000000000005,2019-01-10,Ewallet,55.12,9.0
32,640-49-2076,B,Mandalay,Normal,Male,Sports and travel,83.78,8,33.512,703.752,2019-01-10,Cash,670.24,5.1
8,665-32-9167,A,Yangon,Member,Female,Health and beauty,36.26,2,3.6260000000000003,76.146,2019-01-10,Credit card,72.52,7.2
317,603-07-0961,C,Naypyitaw,Member,Male,Electronic accessories,74.79,5,18.6975,392.6475,2019-01-10,Cash,373.95,4.9
956,577-34-7579,C,Naypyitaw,Member,Male,Food and beverages,50.49,9,22.7205,477.1305,2019-01-10,Cash,454.41,5.4
923,887-42-0517,C,Naypyitaw,Normal,Female,Sports and travel,83.14,7,29.099,611.0790000000001,2019-01-10,Credit card,581.98,6.6
297,744-02-5987,A,Yangon,Member,Male,Home and lifestyle,78.38,6,23.514,493.79400000000004,2019-01-10,Ewallet,470.28,5.8
568,241-11-2261,B,Mandalay,Normal,Female,Fashion accessories,79.86,7,27.951,586.971,2019-01-10,Credit card,559.02,5.5
92,873-51-0671,A,Yangon,Member,Female,Sports and travel,21.98,7,7.693,161.553,2019-01-10,Ewallet,153.86,5.1
240,540-11-4336,A,Yangon,Normal,Male,Food and beverages,24.94,9,11.222999999999999,235.683,2019-01-11,Credit card,224.46,5.6
239,478-06-7835,A,Yangon,Normal,Male,Fashion accessories,89.69,1,4.4845,94.1745,2019-01-11,Ewallet,89.69,4.9
723,592-46-1692,C,Naypyitaw,Member,Female,Food and beverages,36.77,7,12.8695,270.2595,2019-01-11,Cash,257.39,7.4
406,732-67-5346,A,Yangon,Normal,Male,Food and beverages,13.79,5,3.4475,72.3975,2019-01-11,Credit card,68.95,7.8
757,406-46-7107,A,Yangon,Normal,Female,Home and lifestyle,96.52,6,28.956,608.076,2019-01-11,Cash,579.12,4.5
679,130-67-4723,A,Yangon,Member,Male,Food and beverages,48.5,6,14.55,305.55,2019-01-11,Ewallet,291.0,9.4
380,289-15-7034,A,Yangon,Member,Male,Sports and travel,82.33,4,16.465999999999998,345.786,2019-01-11,Credit card,329.32,7.5
225,746-68-6593,C,Naypyitaw,Member,Female,Sports and travel,87.16,2,8.716000000000001,183.03599999999997,2019-01-11,Credit card,174.32,9.7
546,647-50-1224,A,Yangon,Normal,Female,Fashion accessories,29.42,10,14.71,308.91,2019-01-12,Ewallet,294.2,8.9
121,659-36-1684,C,Naypyitaw,Member,Male,Sports and travel,57.12,7,19.992,419.832,2019-01-12,Credit card,399.84,6.5
418,848-07-1692,B,Mandalay,Normal,Female,Health and beauty,57.22,2,5.722,120.162,2019-01-12,Ewallet,114.44,8.3
863,533-66-5566,B,Mandalay,Normal,Female,Home and lifestyle,51.07,7,17.8745,375.3645,2019-01-12,Cash,357.49,7.0
448,296-11-7041,B,Mandalay,Member,Female,Health and beauty,27.07,1,1.3535,28.4235,2019-01-12,Credit card,27.07,5.3
800,751-15-6198,B,Mandalay,Normal,Male,Sports and travel,23.01,6,6.903,144.963,2019-01-12,Ewallet,138.06,7.9
77,381-20-0914,A,Yangon,Member,Female,Fashion accessories,20.01,9,9.0045,189.0945,2019-01-12,Credit card,180.09,5.7
105,704-48-3927,A,Yangon,Member,Male,Electronic accessories,88.67,10,44.335,931.035,2019-01-12,Ewallet,886.7,7.3
623,852-62-7105,B,Mandalay,Normal,Female,Fashion accessories,83.25,10,41.625,874.125,2019-01-12,Credit card,832.5,4.4
699,751-41-9720,C,Naypyitaw,Normal,Male,Home and lifestyle,97.5,10,48.75,1023.75,2019-01-12,Ewallet,975.0,8.0
738,197-77-7132,B,Mandalay,Member,Male,Electronic accessories,91.56,8,36.624,769.1039999999999,2019-01-12,Ewallet,732.48,6.0
927,397-25-8725,A,Yangon,Member,Female,Health and beauty,39.62,9,17.829,374.409,2019-01-13,Credit card,356.58,6.8
885,460-93-5834,A,Yangon,Normal,Male,Sports and travel,45.58,7,15.953,335.01300000000003,2019-01-13,Cash,319.06,5.0
616,327-40-9673,B,Mandalay,Member,Male,Sports and travel,72.6,6,21.78,457.38,2019-01-13,Cash,435.6,6.9
967,195-06-0432,A,Yangon,Member,Male,Home and lifestyle,81.01,3,12.1515,255.1815,2019-01-13,Credit card,243.03,9.3
75,732-94-0499,C,Naypyitaw,Normal,Female,Electronic accessories,41.65,10,20.825,437.325,2019-01-13,Credit card,416.5,5.4
527,339-38-9982,B,Mandalay,Member,Male,Fashion accessories,59.86,2,5.986000000000001,125.706,2019-01-13,Ewallet,119.72,6.7
953,784-08-0310,C,Naypyitaw,Member,Female,Food and beverages,21.04,4,4.208,88.368,2019-01-13,Cash,84.16,7.6
573,355-34-6244,B,Mandalay,Normal,Male,Food and beverages,72.39,2,7.239,152.019,2019-01-13,Credit card,144.78,8.1
195,556-86-3144,C,Naypyitaw,Member,Female,Fashion accessories,74.29,1,3.7145,78.0045,2019-01-13,Cash,74.29,5.0
432,459-50-7686,A,Yangon,Normal,Female,Electronic accessories,23.46,6,7.037999999999999,147.798,2019-01-13,Ewallet,140.76,6.4
741,451-73-2711,C,Naypyitaw,Normal,Male,Food and beverages,84.83,1,4.2415,89.0715,2019-01-14,Ewallet,84.83,8.8
670,588-47-8641,A,Yangon,Member,Male,Fashion accessories,56.04,10,28.02,588.42,2019-01-14,Ewallet,560.4,4.4
202,426-39-2418,C,Naypyitaw,Normal,Male,Electronic accessories,61.41,7,21.4935,451.3635,2019-01-14,Cash,429.87,9.8
681,320-85-2052,B,Mandalay,Normal,Female,Sports and travel,34.81,1,1.7405,36.5505,2019-01-14,Credit card,34.81,7.0
382,868-52-7573,B,Mandalay,Normal,Female,Food and beverages,99.69,5,24.9225,523.3725,2019-01-14,Cash,498.45,9.9
249,785-13-7708,B,Mandalay,Normal,Male,Food and beverages,73.06,7,25.570999999999998,536.991,2019-01-14,Credit card,511.42,4.2
808,559-61-5987,B,Mandalay,Normal,Female,Health and beauty,17.75,1,0.8875,18.6375,2019-01-14,Cash,17.75,8.6
577,592-34-6155,C,Naypyitaw,Normal,Male,Food and beverages,31.77,4,6.354,133.434,2019-01-14,Ewallet,127.08,6.2
375,667-23-5919,A,Yangon,Member,Female,Fashion accessories,96.7,5,24.175,507.675,2019-01-14,Ewallet,483.5,7.0
788,704-10-4056,C,Naypyitaw,Member,Male,Health and beauty,60.47,3,9.0705,190.4805,2019-01-14,Credit card,181.41,5.6
583,359-90-3665,B,Mandalay,Member,Female,Fashion accessories,18.08,4,3.616,75.936,2019-01-14,Credit card,72.32,9.5
900,377-79-7592,C,Naypyitaw,Member,Female,Electronic accessories,44.84,9,20.178,423.73800000000006,2019-01-14,Credit card,403.56,7.5
852,658-66-3967,C,Naypyitaw,Normal,Male,Health and beauty,53.19,7,18.6165,390.9465,2019-01-14,Ewallet,372.33,5.0
749,314-23-4520,C,Naypyitaw,Member,Male,Health and beauty,81.23,7,28.4305,597.0405,2019-01-15,Cash,568.61,9.0
792,744-16-7898,B,Mandalay,Normal,Female,Home and lifestyle,97.37,10,48.685,1022.385,2019-01-15,Credit card,973.7,4.9
444,301-11-9629,A,Yangon,Normal,Female,Sports and travel,19.1,7,6.685,140.385,2019-01-15,Cash,133.7,9.7
191,437-58-8131,B,Mandalay,Normal,Female,Fashion accessories,73.52,2,7.352,154.392,2019-01-15,Ewallet,147.04,4.6
650,369-82-2676,B,Mandalay,Normal,Male,Electronic accessories,75.66,5,18.915,397.215,2019-01-15,Ewallet,378.3,7.8
15,299-46-1805,B,Mandalay,Member,Female,Sports and travel,93.72,6,28.116,590.436,2019-01-15,Cash,562.32,4.5
37,272-65-1806,A,Yangon,Normal,Female,Electronic accessories,60.88,9,27.396,575.316,2019-01-15,Ewallet,547.92,4.7
442,138-17-5109,A,Yangon,Member,Female,Home and lifestyle,89.21,9,40.1445,843.0345,2019-01-15,Credit card,802.89,6.5
635,188-55-0967,B,Mandalay,Member,Male,Health and beauty,66.47,10,33.235,697.935,2019-01-15,Credit card,664.7,5.0
769,886-54-6089,A,Yangon,Normal,Female,Home and lifestyle,11.43,6,3.429,72.009,2019-01-15,Cash,68.58,7.7
440,450-28-2866,C,Naypyitaw,Member,Male,Food and beverages,17.44,5,4.36,91.56,2019-01-15,Cash,87.2,8.1
632,589-02-8023,A,Yangon,Member,Male,Food and beverages,83.77,2,8.377,175.917,2019-01-15,Credit card,167.54,7.0
838,660-29-7083,C,Naypyitaw,Normal,Male,Electronic accessories,55.87,10,27.935,586.635,2019-01-15,Cash,558.7,5.8
687,648-83-1321,A,Yangon,Member,Male,Home and lifestyle,63.56,10,31.78,667.38,2019-01-16,Cash,635.6,4.3
166,234-65-2137,C,Naypyitaw,Normal,Male,Home and lifestyle,95.58,10,47.79,1003.59,2019-01-16,Cash,955.8,4.8
211,677-11-0152,C,Naypyitaw,Normal,Female,Food and beverages,93.26,9,41.967,881.307,2019-01-16,Cash,839.34,8.8
806,618-34-8551,A,Yangon,Normal,Female,Sports and travel,93.18,2,9.318,195.678,2019-01-16,Credit card,186.36,8.5
510,347-72-6115,B,Mandalay,Member,Female,Sports and travel,90.74,7,31.759,666.939,2019-01-16,Credit card,635.18,6.2
648,859-71-0933,C,Naypyitaw,Member,Female,Sports and travel,15.49,2,1.5490000000000002,32.529,2019-01-16,Cash,30.98,6.3
526,286-62-6248,B,Mandalay,Normal,Male,Fashion accessories,39.21,4,7.8420000000000005,164.68200000000002,2019-01-16,Credit card,156.84,9.0
661,842-29-4695,C,Naypyitaw,Member,Male,Sports and travel,17.14,7,5.999,125.979,2019-01-16,Credit card,119.98,7.9
694,372-62-5264,C,Naypyitaw,Normal,Female,Food and beverages,52.6,9,23.67,497.07,2019-01-16,Cash,473.4,7.6
117,659-65-8956,B,Mandalay,Member,Male,Fashion accessories,51.36,1,2.568,53.928000000000004,2019-01-16,Ewallet,51.36,5.2
622,670-79-6321,B,Mandalay,Member,Female,Home and lifestyle,94.59,7,33.1065,695.2365,2019-01-17,Credit card,662.13,4.9
669,679-22-6530,B,Mandalay,Normal,Female,Sports and travel,40.62,2,4.062,85.302,2019-01-17,Credit card,81.24,4.1
565,698-98-5964,A,Yangon,Normal,Female,Food and beverages,81.21,10,40.605,852.705,2019-01-17,Credit card,812.1,6.3
519,600-38-9738,C,Naypyitaw,Member,Male,Sports and travel,71.92,5,17.98,377.58,2019-01-17,Credit card,359.6,4.3
867,101-81-4070,C,Naypyitaw,Member,Female,Health and beauty,62.82,2,6.282,131.922,2019-01-17,Ewallet,125.64,4.9
609,349-97-8902,B,Mandalay,Member,Male,Food and beverages,57.89,2,5.789,121.569,2019-01-17,Ewallet,115.78,8.9
709,445-30-9252,A,Yangon,Normal,Male,Sports and travel,25.7,3,3.855,80.955,2019-01-17,Ewallet,77.1,6.1
789,497-37-6538,A,Yangon,Normal,Male,Sports and travel,58.91,7,20.6185,432.9885,2019-01-17,Ewallet,412.37,9.7
324,746-54-5508,A,Yangon,Normal,Male,Home and lifestyle,21.52,6,6.456,135.576,2019-01-17,Credit card,129.12,9.4
774,200-16-5952,C,Naypyitaw,Member,Male,Food and beverages,65.65,2,6.565,137.865,2019-01-17,Cash,131.3,6.0
40,280-35-5823,B,Mandalay,Member,Female,Home and lifestyle,86.72,1,4.336,91.056,2019-01-17,Ewallet,86.72,7.9
873,166-19-2553,A,Yangon,Member,Male,Sports and travel,89.06,6,26.718000000000004,561.078,2019-01-18,Cash,534.36,9.9
721,678-79-0726,C,Naypyitaw,Member,Female,Sports and travel,90.63,9,40.7835,856.4535,2019-01-18,Cash,815.67,5.1
321,622-20-1945,C,Naypyitaw,Normal,Female,Health and beauty,39.42,1,1.9709999999999999,41.391000000000005,2019-01-18,Cash,39.42,8.4
657,562-12-5430,A,Yangon,Member,Female,Fashion accessories,88.15,3,13.2225,277.6725,2019-01-18,Ewallet,264.45,7.9
719,821-14-9046,B,Mandalay,Member,Female,Fashion accessories,17.48,6,5.244,110.124,2019-01-18,Credit card,104.88,6.1
136,700-81-1757,A,Yangon,Normal,Female,Electronic accessories,26.31,5,6.5775,138.1275,2019-01-18,Credit card,131.55,8.8
645,706-36-6154,A,Yangon,Member,Male,Home and lifestyle,19.36,9,8.712,182.952,2019-01-18,Ewallet,174.24,8.7
174,414-12-7047,B,Mandalay,Normal,Male,Food and beverages,19.79,8,7.916,166.236,2019-01-18,Ewallet,158.32,8.7
896,781-84-8059,C,Naypyitaw,Normal,Male,Fashion accessories,60.74,7,21.259,446.439,2019-01-18,Ewallet,425.18,5.0
405,882-40-4577,A,Yangon,Member,Male,Sports and travel,67.26,4,13.452,282.492,2019-01-19,Credit card,269.04,8.0
849,125-45-2293,A,Yangon,Normal,Female,Fashion accessories,99.1,6,29.73,624.33,2019-01-19,Cash,594.6,4.2
942,809-69-9497,A,Yangon,Normal,Female,Home and lifestyle,45.68,10,22.84,479.64,2019-01-19,Ewallet,456.8,5.7
817,832-51-6761,A,Yangon,Normal,Male,Food and beverages,33.88,8,13.552,284.592,2019-01-19,Ewallet,271.04,9.6
630,149-61-1929,A,Yangon,Normal,Male,Sports and travel,64.19,10,32.095,673.995,2019-01-19,Credit card,641.9,6.7
173,608-27-6295,B,Mandalay,Member,Male,Electronic accessories,52.89,6,15.867,333.207,2019-01-19,Credit card,317.34,9.8
113,645-44-1170,A,Yangon,Member,Male,Home and lifestyle,58.07,9,26.1315,548.7615,2019-01-19,Ewallet,522.63,4.3
584,375-72-3056,B,Mandalay,Normal,Male,Sports and travel,63.06,3,9.459,198.639,2019-01-19,Ewallet,189.18,7.0
879,761-49-0439,B,Mandalay,Member,Female,Electronic accessories,12.1,8,4.84,101.64,2019-01-19,Ewallet,96.8,8.6
168,796-32-9050,A,Yangon,Normal,Male,Food and beverages,51.28,6,15.384,323.064,2019-01-19,Cash,307.68,6.5
613,284-54-4231,C,Naypyitaw,Member,Male,Sports and travel,80.93,1,4.0465,84.9765,2019-01-19,Credit card,80.93,9.0
911,151-27-8496,C,Naypyitaw,Normal,Female,Electronic accessories,56.13,4,11.225999999999999,235.74599999999998,2019-01-19,Ewallet,224.52,8.6
160,894-41-5205,C,Naypyitaw,Normal,Female,Food and beverages,43.18,8,17.272000000000002,362.712,2019-01-19,Credit card,345.44,8.3
717,482-17-1179,A,Yangon,Member,Male,Electronic accessories,11.94,3,1.791,37.611,2019-01-19,Credit card,35.82,8.1
980,728-47-9078,C,Naypyitaw,Member,Male,Food and beverages,59.59,4,11.918,250.278,2019-01-19,Cash,238.36,9.8
299,779-06-0012,C,Naypyitaw,Member,Female,Home and lifestyle,88.61,1,4.4305,93.0405,2019-01-19,Cash,88.61,7.7
933,458-10-8612,C,Naypyitaw,Normal,Male,Health and beauty,64.08,7,22.428,470.98800000000006,2019-01-20,Ewallet,448.56,7.6
555,356-44-8813,B,Mandalay,Normal,Male,Home and lifestyle,37.48,3,5.622000000000001,118.06200000000001,2019-01-20,Credit card,112.44,7.7
436,257-73-1380,C,Naypyitaw,Member,Male,Sports and travel,82.93,4,16.586,348.306,2019-01-20,Ewallet,331.72,9.6
708,760-27-5490,C,Naypyitaw,Normal,Male,Fashion accessories,15.62,8,6.247999999999999,131.208,2019-01-20,Ewallet,124.96,9.1
762,410-67-1709,A,Yangon,Member,Female,Fashion accessories,63.88,8,25.552,536.592,2019-01-20,Ewallet,511.04,9.9
58,817-48-8732,A,Yangon,Member,Female,Home and lifestyle,72.35,10,36.175,759.675,2019-01-20,Cash,723.5,5.4
